cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,notes
CVE-2022-30525,Zyxel,Multiple Firewalls,Zyxel Multiple Firewalls OS Command Injection Vulnerability,2022-05-16,A command injection vulnerability in the CGI program of some Zyxel firewall versions could allow an attacker to modify specific files and then execute some OS commands on a vulnerable device.,Apply updates per vendor instructions.,2022-06-06,
CVE-2022-22947,VMware,Spring Cloud Gateway,VMware Spring Cloud Gateway Code Injection Vulnerability,2022-05-16,"Spring Cloud Gateway applications are vulnerable to a code injection attack when the Gateway Actuator endpoint is enabled, exposed and unsecured.",Apply updates per vendor instructions.,2022-06-06,
